title,href,author,reviewer,last_comment_time,comment
假如你的青梅竹马被试刀。,http://tieba.com/p/8284560461,守望ta老爹,zyr狼王,20:44,假如你出生在古代幕府时代，你是一个渔村的少年，虽然管理你们当地的武士并不怎么好，并且日子很清苦，但是有一个可爱的少女，作为青梅竹马陪伴着你，她已经成了你生命唯一的光， 她和你一样，你们的父母共用一条渔船的，他们在十年前出海时，获得到三条上好的金枪鱼——为了这三条金枪鱼，你的父亲被鱼线割伤，在海上感染而昏迷不醒。 所以你们的父母便商量，将那三条金枪鱼带到距离村子很远的集市上换成钱，给你的父亲治病。 然而
痛经，最恐怖的刑罚,http://tieba.com/p/8285603747,风过泪轻殇,风过泪轻殇,20:44,感觉痛经比什么河坝玩法都难以忍受。会感觉有小刀在从内到外的刮宫壁，同时还感觉有那种很扎人的粗毛线一圈一圈勒紧子宫，整个下腹都在扭曲、搅动，子宫有强烈的下坠感，腰部会十分酸疼，恨不得自己打自己几拳来转移注意力。稍稍移动，就会有温热的液体从孔洞中喷涌，宛若失禁，而且总要时不时看一下衣服后摆，以免造成十分羞耻的场面出现。一方面精神疲惫不堪，一方面精神又高度集中。这种情况每月一次，每次一周。
中国新兴科幻,http://tieba.com/p/8282596472,亚托雷姆, 甜兔布丁,20:44,
假如对象是女儿呢🤣🤣,http://tieba.com/p/8286908014,佐佐木的...,贴吧用户_...,20:44,
实在太哈人了,http://tieba.com/p/8286386458,鼠鼠来腊,BP_buddy,20:44,
最近纯爱战士火起来了？,http://tieba.com/p/8286782121,Alucard3424867,Satanist,20:43,rt，在河坝潜水已久，终于忍不住发个帖。最近各种短视频和社交平台都出现了好多所谓的“纯爱战士”？🤔 但是总觉得他们说的纯爱和我所认为的不一样，河坝大佬萌对纯爱的定义是什么
呵，这就是hero的末路吗……,http://tieba.com/p/8286281299,星の奈,网友依...,20:42,人和人之间的信任就是这么消失的
开个新坑，给大伙说一说魔法少女的故事,http://tieba.com/p/8285400757,魔法少女...,iw1shh,20:43,不被删帖的话可能会更新比较久，见谅见谅
“才没有向你屈服呢…”,http://tieba.com/p/8285982054,zeplion,紅茶的香...,20:43,“一脸享受地说出那句话，没有半点说服力呢” 大家喜欢反差感吗
完了！这下真社死了！,http://tieba.com/p/8285152733,紗桃言歌里,止水如静,20:43,楼下细说QAQ不要再删了
还有两种是什么措施,http://tieba.com/p/8286670437,我崩溃了,初音の老...,20:43,
发个腿子给8u们看看,http://tieba.com/p/8286889988,[],软👚,20:43,
兄弟们，问个问题,http://tieba.com/p/8286933722,丑到想整..., 甜兔布丁,20:43,粉色软件本子推荐全用不了了，该怎么办？
超天酱之寄,http://tieba.com/p/8285995367,[],文雯,20:44,
今天浅画一下我自己,http://tieba.com/p/8286861674,yjyrji,yjyrji,20:43,内容六个字
给未成年或者刚成年的河坝老姐一些话,http://tieba.com/p/8152498636,名字起的...,名字起的...,20:43,河坝里面包罗万象，各种各样的XP，各式各样的人，请你记住，洁身自爱，爱自己
假如你的对象的性格和特点全是你喜好的极端，那会很棒吗？,http://tieba.com/p/8286791935,[],卡菲大人,20:43,例:你喜欢拍照，她全天带着相机到处拍
感觉要社死了,http://tieba.com/p/8225267741,红豆,传话太间,20:42,没有脸去面对上学了
实现中真的有人会被调教成RBQ吗,http://tieba.com/p/8285726799,永恒轮回,薄脆油条,20:42,实现中真的有人会被调教成RBQ吗？ 不下药，没有其他东西诱惑，XP正常，性格正常，完全自愿的
还是太阳天舒服，可以做很多事,http://tieba.com/p/8286702571,烟柳画桥1...,初音の老...,20:42,
nnd，两个人都玩阴的是吧,http://tieba.com/p/8230507010,人间小自在,月半伦的...,20:42,
问问医学大佬,http://tieba.com/p/8282088213,九转绒...,肉丝顾里...,20:42,寸止对女性身体会有损伤吗？最近玩得有点多。目前听说过对男性前列腺有伤害
8u们来点有核吧特色的图片,http://tieba.com/p/8286857185,urza,堀杰五四...,20:42,
喵呜，为什么河坝看不起furry呢,http://tieba.com/p/8280772968,电子AI猫猫,Puyoer,20:42,furry为什么会被小布鄙视呢 还有猫猫不知道什么事furry，猫娘算吗
太阳天最好的是干些什么？,http://tieba.com/p/8286700087,烟柳画桥1...,初音の老...,20:42,
你知道我要干什么,http://tieba.com/p/8286351663,脉片哥,来历不明...,20:42,
大家觉得瓢虫娘会有什么设定或者特点,http://tieba.com/p/8286779037,眠团团,朔方东,20:42,画了一个瓢虫娘，但是对设定毫无头绪，想从大家的评论里找找灵感参考参考
【狐言乱语】,http://tieba.com/p/8286533413,[],芝士轻黏,20:36,附带青少年模式的魅魔契约
居然没有洒出来吗,http://tieba.com/p/8271448157,tszc👿,薄脆油条,20:39,女孩子能做到这样真是相当了不起呢
美少女战士被futa怪人转变成为futa了,http://tieba.com/p/8286887331,星河奔流...,不加柠檬...,20:41,
【阅文无数】找一篇多年前百度上的秀色文,http://tieba.com/p/8285620262,一般路过q..., 甜兔布丁,20:41,rt，大概16年前后在某个网站上看到过的秀色重口中长篇小说，大致情节还记得但想不起标题了，很想再找出来回味一下，希望吧友能帮我回忆起它的名字 详细内容放楼下说
为什么人类在处理奇怪的肉时都倾向于烧烤？,http://tieba.com/p/8286787628,大水胖,初音の老...,20:41,
胶水（502和玻璃胶）注入尿算猎奇的吗,http://tieba.com/p/8286726296,jialaoshi197,讨口,20:41,从我的医生朋友知道的
咦咦？越说我越想试试了怎么办,http://tieba.com/p/8285168582,formlessS,高级特工...,20:41,
第2期，小萌新的,http://tieba.com/p/8286905750,贴吧用户_...,贴吧用户_...,20:41,[图片][图片][图片]
这下被🐶遛了,http://tieba.com/p/8286871852,2,坑爹的用...,20:41,图在楼下
定义第三种性别——天使，大家会愿意做这种性别吗？,http://tieba.com/p/8286818864,什么都想...,初音の老...,20:41,有光环，但是没有翅膀。没有性器官，属于男女两种性别中间的连接器。体态，容貌类似于女性。性格一般比较中性化。一般不喜欢化妆。喜欢装饰品，在光环上也可以做些装饰。光环有两个作用。一种是发亮。但是没办法控制。第二种是可以与别人共感。当男女摸着天使的脑袋的时候，三人都可以达成升天的感觉。在这个过程中可以脑内投票，三人中得两票的人会怀个孩子 大家觉得这种性别怎么样，会愿意做吗？
【狐言乱语】,http://tieba.com/p/8286551875,[],Ray Foster,20:41,佛州不养闲人(ﾟ▽ﾟ)
